Marca temporal,Nombre y Apellido del fallecido,Fecha de fallecimiento,DNI,Edad al fallecer,Sexo,Hora de fallecimiento,Causa de fallecimiento,Causa detallada (si es 'Otro'),Lugar de fallecimiento,Ubicación en el cementerio,Tipo de sepultura,Número de acta / registro,Nombre del responsable que registra,DNI del responsable que registra,Correo electrónico del responsable,Otros aportes o comentarios,Año de fallecimiento,Mes de fallecimiento,Rango edad,Día de la semana
1995-12-24 18:21:52.157765,Águeda Juliá,1995-12-24,24410741,30,Femenino,17:01,Neumonía,,Hospital Central,"Sección 1, Fila 16, Parcela 34",Nicho,633806,Lorena Calderon Recio,47403160,cruiz@example.org,Documento entregado en oficina central.,1995,12,Joven,Sunday
1995-05-04 17:35:52.583861,Haydée Ródenas Sabater,1995-05-04,16757887,1,Femenino,23:40,Neumonía,,Clínica Privada,"Sección 3, Fila 7, Parcela 19",Tumba tradicional,405409,Oriana Carvajal Solsona,38265062,agustina14@example.com,Pendiente entrega de certificado de defunción original.,1995,5,Niño,Thursday
1995-07-11 08:14:23.525316,Viviana Marín-Crespo,1995-07-11,84573512,74,Otro,12:26,Otro,Otro no especificado,Domicilio,"Sección 10, Fila 7, Parcela 21",Nicho,551568,Isabela Pellicer Corominas,23873883,manceboemiliana@example.com,Se coordinó con la empresa funeraria local.,1995,7,Adulto mayor,Tuesday
1995-07-23 04:19:43.511842,Azucena Córdoba Lopez,1995-07-23,64014643,26,Femenino,7:07,Accidente,,Clínica Privada,"Sección 7, Fila 1, Parcela 16",Nicho,519248,Constanza Oliveras Chaves,17122900,escrivacirino@example.net,Familia solicita ceremonia sencilla.,1995,7,Joven,Sunday
1995-05-29 02:53:14.026786,Heliodoro Eliseo Barrena Doménech,1995-05-29,86869143,4,Femenino,12:23,Neumonía,,Hospital Central,"Sección 2, Fila 1, Parcela 41",Tumba tradicional,281830,Miguel Ángel Aragón Pacheco,41210210,octaviapellicer@example.net,Pendiente entrega de certificado de defunción original.,1995,5,Niño,Monday
1995-05-07 02:26:27.181922,Arturo Manso Mayoral,1995-05-07,88015597,54,Otro,18:28,Accidente,,Hospital Central,"Sección 5, Fila 8, Parcela 41",Mausoleo,292602,Daniel del Lumbreras,22193879,oliveraelisabet@example.org,Documento entregado en oficina central.,1995,5,Adulto,Sunday
1995-06-30 00:34:25.197726,Fidel del Rosales,1995-06-30,93026484,14,Femenino,19:50,Cáncer,,Clínica Privada,"Sección 7, Fila 20, Parcela 19",Nicho,925186,Estrella de Ordóñez,39947996,bermudezaraceli@example.org,Acta firmada por dos testigos.,1995,6,Adolescente,Friday
1995-07-29 07:12:13.989868,Anastasio Berenguer Ferrera,1995-07-29,77069998,39,Masculino,1:38,Cáncer,,Hospital Central,"Sección 10, Fila 17, Parcela 12",Tumba tradicional,761279,Jose Antonio Fuente-Pérez,25714135,galvandalila@example.net,Pendiente entrega de certificado de defunción original.,1995,7,Adulto,Saturday
1995-06-07 21:47:55.896443,Nadia del Salgado,1995-06-07,74665697,82,Masculino,21:43,Otro,Septicemia,Domicilio,"Sección 6, Fila 12, Parcela 10",Cremación,644732,Miguel Ángel Aragón Pacheco,27122785,basilioferrando@example.net,Se notificó al registro civil.,1995,6,Adulto mayor,Wednesday
1995-01-28 14:17:13.898066,Violeta Suárez Barco,1995-01-28,24344996,96,Masculino,8:44,Infarto,,Vía Pública,"Sección 6, Fila 2, Parcela 45",Cremación,719321,Estrella de Ordóñez,11003381,coronablanes@example.net,Pendiente entrega de certificado de defunción original.,1995,1,Adulto mayor,Saturday
1995-06-27 13:35:07.481961,Juan Carlos de Martínez,1995-06-27,94897630,43,Otro,7:51,Cáncer,,Vía Pública,"Sección 4, Fila 8, Parcela 35",Nicho,391167,Margarita Iglesia Baena,29741602,figuerasisidora@example.org,Pendiente entrega de certificado de defunción original.,1995,6,Adulto,Tuesday
1995-12-04 05:59:15.644542,Yésica Petrona Noriega Reyes,1995-12-04,11961789,29,Masculino,23:06,Covid-19,,Clínica Privada,"Sección 2, Fila 8, Parcela 5",Tumba tradicional,797274,Ildefonso Mata-Español,39706612,ruy59@example.org,Se notificó al registro civil.,1995,12,Joven,Monday
1995-12-10 05:18:48.512712,Rodolfo Fabregat Reyes,1995-12-10,51680469,91,Masculino,6:32,Cáncer,,Hospital Central,"Sección 6, Fila 6, Parcela 37",Nicho,226104,Daniel del Lumbreras,32188107,lermamaximino@example.org,La familia pidió servicio religioso antes de la cremación.,1995,12,Adulto mayor,Sunday
1995-04-23 20:50:16.541782,Desiderio Ribas-Peña,1995-04-23,64346946,12,Femenino,17:27,Otro,Otro no especificado,Vía Pública,"Sección 5, Fila 14, Parcela 37",Nicho,109308,Demetrio Fernandez Bas,10892381,vergarayesica@example.net,Se pidió mantener la causa de fallecimiento en reserva.,1995,4,Niño,Sunday
1995-07-16 02:55:38.326519,Salud Andrés-Flor,1995-07-16,65424923,71,Masculino,3:17,Covid-19,,Domicilio,"Sección 2, Fila 17, Parcela 5",Nicho,160210,Mario Vilaplana Haro,22317057,munozelisa@example.org,La familia pidió servicio religioso antes de la cremación.,1995,7,Adulto mayor,Sunday
1995-09-25 23:32:32.145339,Sarita Galván Olivé,1995-09-25,97872321,56,Masculino,9:15,Otro,Insuficiencia renal,Clínica Privada,"Sección 8, Fila 17, Parcela 20",Mausoleo,394677,Miguel Ángel Aragón Pacheco,45525899,ygarzon@example.net,Pendiente entrega de certificado de defunción original.,1995,9,Adulto,Monday
1995-08-05 02:19:56.066478,Isaac Villar Jódar,1995-08-05,79617644,74,Masculino,11:32,Cáncer,,Hospital Central,"Sección 6, Fila 15, Parcela 47",Nicho,503721,Constanza Oliveras Chaves,37896741,lalocepeda@example.net,Se adjunta certificado médico.,1995,8,Adulto mayor,Saturday
1995-05-30 03:55:18.357656,Efraín Remigio Báez Alsina,1995-05-30,37733894,2,Masculino,11:24,Cáncer,,Domicilio,"Sección 7, Fila 10, Parcela 36",Cremación,705237,Demetrio Fernandez Bas,36608350,dionisiomir@example.com,Familia solicita ceremonia sencilla.,1995,5,Niño,Tuesday
1995-03-14 07:06:32.108222,Chita Crespi Cuadrado,1995-03-14,63443278,26,Masculino,23:03,Neumonía,,Hospital Central,"Sección 7, Fila 13, Parcela 23",Cremación,510233,Oriana Carvajal Solsona,42996943,smalo@example.com,Se pidió mantener la causa de fallecimiento en reserva.,1995,3,Joven,Tuesday
1995-01-22 04:05:54.031120,Juan Bautista Nogués Roman,1995-01-22,39506314,87,Otro,5:16,Otro,Septicemia,Domicilio,"Sección 5, Fila 4, Parcela 36",Nicho,593562,Margarita Iglesia Baena,49028162,bquintana@example.net,Se pidió mantener la causa de fallecimiento en reserva.,1995,1,Adulto mayor,Sunday
1995-09-15 01:46:55.657946,Haroldo Benjamín Tomé Feijoo,1995-09-15,53247601,27,Masculino,4:18,Neumonía,,Hospital Central,"Sección 8, Fila 11, Parcela 32",Mausoleo,255073,Lorena Calderon Recio,17657157,jesusa75@example.org,Acta firmada por dos testigos.,1995,9,Joven,Friday
1995-02-17 13:49:18.193512,Tania Barral Tejero,1995-02-17,99912746,4,Masculino,17:13,Covid-19,,Vía Pública,"Sección 10, Fila 16, Parcela 38",Cremación,973379,Constanza Oliveras Chaves,28291551,valcarcelalbina@example.com,Se adjunta certificado médico.,1995,2,Niño,Friday
1995-12-10 06:45:19.236855,Fabiola Guitart-Noguera,1995-12-10,76205442,86,Masculino,13:44,Otro,Otro no especificado,Vía Pública,"Sección 3, Fila 8, Parcela 31",Mausoleo,269504,Mario Vilaplana Haro,45560186,rosariosantiago@example.net,Se notificó al registro civil.,1995,12,Adulto mayor,Sunday
1995-10-30 08:15:41.217052,Cleto Manzano,1995-10-30,37099220,45,Femenino,5:35,Neumonía,,Hospital Central,"Sección 8, Fila 5, Parcela 35",Nicho,759169,Margarita Iglesia Baena,44727884,josefa47@example.org,Pendiente entrega de certificado de defunción original.,1995,10,Adulto,Monday
1995-01-12 06:11:28.077855,Morena Gómez-Carbó,1995-01-12,56980590,94,Masculino,12:12,Otro,Insuficiencia renal,Clínica Privada,"Sección 10, Fila 20, Parcela 17",Cremación,362369,Demetrio Fernandez Bas,23585093,ursulaparedes@example.com,Se adjunta certificado médico.,1995,1,Adulto mayor,Thursday
1995-07-14 18:26:21.216359,Fabricio Cano Gual,1995-07-14,20933553,68,Femenino,23:44,Covid-19,,Domicilio,"Sección 10, Fila 18, Parcela 50",Nicho,389892,Mario Vilaplana Haro,22517542,nieves21@example.org,Familia solicita ceremonia sencilla.,1995,7,Adulto mayor,Friday
1995-01-26 23:51:28.155099,Trini Aranda-Luque,1995-01-26,48343100,49,Femenino,16:19,Covid-19,,Vía Pública,"Sección 6, Fila 1, Parcela 2",Tumba tradicional,955925,Margarita Iglesia Baena,29911166,porfiriomorales@example.com,Se adjunta certificado médico.,1995,1,Adulto,Thursday
1995-07-17 21:52:37.461707,Aroa Albero Perelló,1995-07-17,59640221,15,Masculino,5:36,Accidente,,Clínica Privada,"Sección 3, Fila 20, Parcela 30",Tumba tradicional,829994,Constanza Oliveras Chaves,13831422,narcisovergara@example.net,Se adjunta certificado médico.,1995,7,Adolescente,Monday
1995-10-25 21:53:15.919811,Antonio Cardona Arellano,1995-10-25,82825240,60,Femenino,23:39,Cáncer,,Clínica Privada,"Sección 10, Fila 10, Parcela 33",Cremación,786618,Ildefonso Mata-Español,31686169,fulgenciomartinez@example.org,Pendiente entrega de certificado de defunción original.,1995,10,Adulto,Wednesday
1995-04-30 04:30:13.044261,Socorro Olmo-Cases,1995-04-30,44122033,33,Femenino,17:47,Cáncer,,Hospital Central,"Sección 9, Fila 4, Parcela 13",Tumba tradicional,609331,Miguel Ángel Aragón Pacheco,23928496,juan-luis84@example.com,Familia solicita ceremonia sencilla.,1995,4,Adulto,Sunday
1995-07-11 02:58:44.240006,Cecilio Vilanova Ribera,1995-07-11,63069972,79,Masculino,1:58,Otro,Septicemia,Domicilio,"Sección 6, Fila 10, Parcela 11",Mausoleo,516256,Estrella de Ordóñez,16154753,hagustin@example.net,Se coordinó con la empresa funeraria local.,1995,7,Adulto mayor,Tuesday
1995-04-02 21:02:49.809022,Charo Pulido Salinas,1995-04-02,29751923,35,Masculino,7:17,Otro,Complicaciones posoperatorias,Vía Pública,"Sección 10, Fila 5, Parcela 48",Tumba tradicional,350165,Mario Vilaplana Haro,16516676,ecoello@example.net,Documento entregado en oficina central.,1995,4,Adulto,Sunday
1995-03-25 10:41:53.768627,Natanael Marin Llamas,1995-03-25,90268545,36,Masculino,6:29,Otro,Otro no especificado,Hospital Central,"Sección 8, Fila 8, Parcela 20",Cremación,253577,Lorena Calderon Recio,23419551,fisern@example.net,Se notificó al registro civil.,1995,3,Adulto,Saturday
1995-04-27 03:42:43.016840,Virginia Casanovas Ortuño,1995-04-27,39798036,35,Otro,10:55,Neumonía,,Clínica Privada,"Sección 10, Fila 3, Parcela 43",Mausoleo,410087,Estrella de Ordóñez,49073360,anasala@example.org,Acta firmada por dos testigos.,1995,4,Adulto,Thursday
1995-11-26 19:48:04.080646,Omar Ezequiel Dueñas Cadenas,1995-11-26,57528957,36,Femenino,0:37,Neumonía,,Clínica Privada,"Sección 1, Fila 19, Parcela 4",Tumba tradicional,624706,Demetrio Fernandez Bas,45477630,sroman@example.net,Se notificó al registro civil.,1995,11,Adulto,Sunday
1995-09-27 10:14:18.026520,Vasco Valle-Sanz,1995-09-27,99908972,28,Masculino,3:58,Cáncer,,Domicilio,"Sección 8, Fila 18, Parcela 19",Tumba tradicional,573616,Estrella de Ordóñez,21894382,pcalatayud@example.org,Familia solicita ceremonia sencilla.,1995,9,Joven,Wednesday
1995-03-29 15:07:35.066770,José Florencia Sotelo Clemente,1995-03-29,80264968,80,Femenino,8:01,Infarto,,Hospital Central,"Sección 3, Fila 10, Parcela 26",Cremación,318516,Estrella de Ordóñez,15491770,eliashortensia@example.net,Se adjunta certificado médico.,1995,3,Adulto mayor,Wednesday
1995-04-07 12:25:21.078040,Gil de Millán,1995-04-07,84425692,39,Femenino,11:28,Accidente,,Hospital Central,"Sección 8, Fila 13, Parcela 19",Mausoleo,696886,Ildefonso Mata-Español,10985870,calvetfelicia@example.com,Se notificó al registro civil.,1995,4,Adulto,Friday
1995-01-17 13:07:19.248438,Armida Fabiana Caro Milla,1995-01-17,89585001,14,Masculino,21:03,Covid-19,,Hospital Central,"Sección 2, Fila 7, Parcela 35",Tumba tradicional,693141,Margarita Iglesia Baena,27347161,aurorasierra@example.com,Acta firmada por dos testigos.,1995,1,Adolescente,Tuesday
1995-07-21 17:08:19.901463,Amparo Caparrós Gallo,1995-07-21,14178126,90,Femenino,15:39,Otro,Septicemia,Clínica Privada,"Sección 6, Fila 8, Parcela 26",Tumba tradicional,800302,Herminio Bernad,33567956,lucio54@example.org,La familia pidió servicio religioso antes de la cremación.,1995,7,Adulto mayor,Friday
1995-09-30 14:42:22.308507,Brígida Gallardo Ribas,1995-09-30,62625411,82,Masculino,20:22,Infarto,,Clínica Privada,"Sección 7, Fila 16, Parcela 45",Nicho,472272,Daniela de Prat,20164301,pineirotrinidad@example.com,La familia pidió sepultura junto a otros parientes.,1995,9,Adulto mayor,Saturday
1995-07-19 15:07:27.324961,Dominga Murcia Porta,1995-07-19,27448525,93,Masculino,2:48,Covid-19,,Domicilio,"Sección 4, Fila 15, Parcela 36",Nicho,475458,Nereida Puig Rubio,27214734,lroldan@example.com,Se coordinó con la empresa funeraria local.,1995,7,Adulto mayor,Wednesday
1995-12-14 00:53:48.783520,Raúl Pedrosa,1995-12-14,36445817,59,Masculino,15:47,Accidente,,Hospital Central,"Sección 1, Fila 19, Parcela 16",Tumba tradicional,505011,Oriana Carvajal Solsona,22736300,tomasatejera@example.org,Se coordinó con la empresa funeraria local.,1995,12,Adulto,Thursday
1995-09-15 07:51:20.012930,Estela Sabater Coll,1995-09-15,46544752,94,Masculino,8:31,Infarto,,Clínica Privada,"Sección 5, Fila 11, Parcela 27",Mausoleo,826210,Demetrio Fernandez Bas,14902111,jordana35@example.org,Familia solicita ceremonia sencilla.,1995,9,Adulto mayor,Friday
1995-11-03 15:58:07.453106,Luis de Salinas,1995-11-03,36217081,61,Masculino,6:27,Accidente,,Domicilio,"Sección 4, Fila 6, Parcela 40",Mausoleo,844136,Jose Antonio Fuente-Pérez,31066275,nsuarez@example.org,Se notificó al registro civil.,1995,11,Adulto mayor,Friday
1995-10-13 21:52:20.503414,Bárbara Rosales Briones,1995-10-13,94252587,6,Masculino,21:04,Covid-19,,Vía Pública,"Sección 5, Fila 4, Parcela 28",Nicho,555928,Nereida Puig Rubio,28468113,echaves@example.com,Se coordinó con la empresa funeraria local.,1995,10,Niño,Friday
1995-04-29 15:27:00.696314,Magdalena Felisa Cabello Santana,1995-04-29,85677653,7,Femenino,1:47,Covid-19,,Hospital Central,"Sección 8, Fila 12, Parcela 13",Tumba tradicional,955097,Miguel Ángel Aragón Pacheco,10807748,julianatur@example.net,Se pidió mantener la causa de fallecimiento en reserva.,1995,4,Niño,Saturday
1995-01-24 10:32:39.589171,Eligia Roxana Barba Bermúdez,1995-01-24,34074645,83,Masculino,16:25,Otro,Complicaciones posoperatorias,Clínica Privada,"Sección 4, Fila 18, Parcela 5",Nicho,620574,Daniel del Lumbreras,43308837,fabricio48@example.net,La familia pidió sepultura junto a otros parientes.,1995,1,Adulto mayor,Tuesday
1995-10-31 12:59:47.776482,Graciano Melchor Baró Montenegro,1995-10-31,52856006,8,Otro,0:57,Otro,Complicaciones posoperatorias,Vía Pública,"Sección 2, Fila 5, Parcela 26",Nicho,370958,Isabela Pellicer Corominas,10622544,manuela09@example.net,Se adjunta certificado médico.,1995,10,Niño,Tuesday
1995-07-07 03:07:36.149214,Adelina Barragán Egea,1995-07-07,41516495,14,Masculino,20:50,Otro,Septicemia,Clínica Privada,"Sección 3, Fila 17, Parcela 21",Tumba tradicional,795357,Ildefonso Mata-Español,23818358,martirioaller@example.org,Documento entregado en oficina central.,1995,7,Adolescente,Friday
1995-01-22 23:51:00.667954,Juan Carlos Cerdá Barral,1995-01-22,19857285,70,Femenino,1:48,Covid-19,,Hospital Central,"Sección 4, Fila 13, Parcela 8",Cremación,865797,Oriana Carvajal Solsona,35440742,rubencarranza@example.com,Pendiente entrega de certificado de defunción original.,1995,1,Adulto mayor,Sunday
1995-06-05 11:33:27.807552,Reyes Zamorano Ferrán,1995-06-05,93938641,75,Otro,16:45,Accidente,,Hospital Central,"Sección 6, Fila 5, Parcela 26",Mausoleo,603049,Jose Antonio Fuente-Pérez,13928517,chaparroolivia@example.net,Familia solicita ceremonia sencilla.,1995,6,Adulto mayor,Monday
1995-06-16 07:48:31.862863,Joaquín Pla Castell,1995-06-16,72478262,3,Femenino,21:15,Accidente,,Domicilio,"Sección 3, Fila 7, Parcela 44",Nicho,803288,Jose Antonio Fuente-Pérez,13220365,ofeliasaura@example.org,Documento entregado en oficina central.,1995,6,Niño,Friday
1995-05-11 02:44:50.922433,Ángela Osorio-Cal,1995-05-11,45883546,91,Otro,15:17,Infarto,,Domicilio,"Sección 6, Fila 11, Parcela 6",Cremación,586145,Isabela Pellicer Corominas,19553518,drobledo@example.com,Se pidió mantener la causa de fallecimiento en reserva.,1995,5,Adulto mayor,Thursday
1995-03-12 01:59:56.905598,Imelda Cifuentes Alberdi,1995-03-12,88756389,12,Masculino,19:05,Neumonía,,Hospital Central,"Sección 7, Fila 3, Parcela 10",Cremación,915619,Daniela de Prat,45882998,btrillo@example.net,Se notificó al registro civil.,1995,3,Niño,Sunday
1995-02-22 11:56:08.875671,Lorena Quintana Silva,1995-02-22,29540215,65,Otro,22:16,Covid-19,,Domicilio,"Sección 5, Fila 17, Parcela 7",Cremación,954737,Isabela Pellicer Corominas,45434554,candelaslobato@example.net,Se notificó al registro civil.,1995,2,Adulto mayor,Wednesday
1995-06-08 22:15:28.907429,Agapito Pallarès Andreu,1995-06-08,48931491,44,Otro,5:00,Otro,Insuficiencia renal,Hospital Central,"Sección 9, Fila 17, Parcela 4",Mausoleo,495173,Ildefonso Mata-Español,25329917,loreto42@example.com,Se coordinó con la empresa funeraria local.,1995,6,Adulto,Thursday
1995-02-01 09:14:13.074731,Aroa Abascal Beltran,1995-02-01,51443797,88,Femenino,20:25,Cáncer,,Hospital Central,"Sección 5, Fila 5, Parcela 22",Mausoleo,152863,Oriana Carvajal Solsona,16896359,plinio77@example.com,Se coordinó con la empresa funeraria local.,1995,2,Adulto mayor,Wednesday
1995-08-30 04:12:50.809662,Rodrigo Carreras,1995-08-30,96236298,22,Masculino,11:44,Cáncer,,Hospital Central,"Sección 6, Fila 11, Parcela 41",Cremación,711058,Margarita Iglesia Baena,36012362,ainoalerma@example.com,Documento entregado en oficina central.,1995,8,Joven,Wednesday
1995-01-21 11:50:18.578730,Priscila Díaz Almazán,1995-01-21,26430460,35,Femenino,17:04,Covid-19,,Vía Pública,"Sección 3, Fila 10, Parcela 4",Tumba tradicional,265378,Jose Antonio Fuente-Pérez,46521070,amadozapata@example.net,Pendiente entrega de certificado de defunción original.,1995,1,Adulto,Saturday
1995-07-04 03:45:51.424299,Marcela Gutiérrez Carrasco,1995-07-04,50556801,85,Otro,8:34,Otro,Septicemia,Vía Pública,"Sección 6, Fila 5, Parcela 11",Nicho,764144,Jose Antonio Fuente-Pérez,32067782,mataspaloma@example.org,Se notificó al registro civil.,1995,7,Adulto mayor,Tuesday
1995-05-09 05:37:20.611873,Bartolomé Castellanos Guijarro,1995-05-09,73023206,33,Masculino,23:42,Cáncer,,Vía Pública,"Sección 4, Fila 13, Parcela 37",Mausoleo,545480,Daniel del Lumbreras,49730898,lilloemelina@example.org,Acta firmada por dos testigos.,1995,5,Adulto,Tuesday
1995-12-16 23:39:24.464659,Jose Carlos Uriarte Bernal,1995-12-16,77833352,61,Femenino,11:51,Cáncer,,Clínica Privada,"Sección 10, Fila 9, Parcela 11",Nicho,165109,Mario Vilaplana Haro,19947356,jllorente@example.net,Familia solicita ceremonia sencilla.,1995,12,Adulto mayor,Saturday
